year,avg_temp_tokyo,avg_temp_global
1845,11.95,7.85
1846,12.40,8.55
1847,12.21,8.09
1848,12.14,7.98
1849,12.14,7.98
1850,11.71,7.90
1851,11.76,8.18
1852,11.73,8.10
1853,11.86,8.04
1854,12.24,8.21
1855,12.56,8.11
1856,12.06,8.00
1857,11.94,7.76
1858,12.23,8.10
1859,12.15,8.25
1860,11.72,7.96
1861,11.79,7.85
1862,11.73,7.56
1863,12.45,8.11
1864,11.95,7.98
1865,12.39,8.18
1866,11.58,8.29
1867,12.46,8.44
1868,12.25,8.25
1869,12.03,8.43
1870,16.12,8.20
1871,12.12,8.12
1872,12.00,8.19
1873,11.53,8.35
1874,12.33,8.43
1875,12.17,7.86
1876,12.39,8.08
1877,12.73,8.54
1878,12.24,8.83
1879,12.82,8.17
1880,12.43,8.12
1881,12.15,8.27
1882,12.29,8.13
1883,11.84,7.98
1884,11.18,7.77
1885,11.53,7.92
1886,12.44,7.95
1887,12.25,7.91
1888,12.01,8.09
1889,11.66,8.32
1890,13.50,7.97
1891,12.42,8.02
1892,12.10,8.07
1893,11.71,8.06
1894,12.92,8.16
1895,12.22,8.15
1896,12.33,8.21
1897,11.72,8.29
1898,12.49,8.18
1899,12.32,8.40
1900,12.11,8.50
1901,12.31,8.54
1902,12.22,8.30
1903,12.34,8.22
1904,12.29,8.09
1905,12.03,8.23
1906,11.66,8.38
1907,11.97,7.95
1908,11.72,8.19
1909,12.04,8.18
1910,12.00,8.22
1911,12.81,8.18
1912,12.32,8.17
1913,11.72,8.30
1914,13.10,8.59
1915,12.74,8.59
1916,13.10,8.23
1917,12.04,8.02
1918,12.19,8.13
1919,12.59,8.38
1920,12.69,8.36
1921,12.12,8.57
1922,12.86,8.41
1923,12.64,8.42
1924,12.35,8.51
1925,12.19,8.53
1926,11.74,8.73
1927,12.19,8.52
1928,12.42,8.63
1929,12.44,8.24
1930,13.00,8.63
1931,12.16,8.72
1932,12.67,8.71
1933,12.69,8.34
1934,11.85,8.63
1935,12.25,8.52
1936,12.09,8.55
1937,12.86,8.70
1938,12.60,8.86
1939,12.72,8.76
1940,12.66,8.76
1941,12.61,8.77
1942,12.80,8.73
1943,12.48,8.76
1944,12.16,8.85
1945,11.62,8.58
1946,12.86,8.68
1947,11.99,8.80
1948,13.18,8.75
1949,12.62,8.59
1950,13.21,8.37
1951,12.72,8.63
1952,12.65,8.64
1953,12.51,8.87
1954,12.76,8.56
1955,13.42,8.63
1956,12.61,8.28
1957,12.66,8.73
1958,13.09,8.77
1959,13.50,8.73
1960,13.26,8.58
1961,13.66,8.80
1962,13.01,8.75
1963,12.71,8.86
1964,12.93,8.41
1965,12.27,8.53
1966,12.81,8.60
1967,12.85,8.70
1968,12.75,8.52
1969,12.64,8.60
1970,12.35,8.70
1971,12.52,8.60
1972,13.17,8.50
1973,12.96,8.95
1974,12.23,8.47
1975,12.72,8.74
1976,12.19,8.35
1977,12.94,8.85
1978,13.05,8.69
1979,13.83,8.73
1980,12.35,8.98
1981,12.06,9.17
1982,12.91,8.64
1983,12.64,9.03
1984,11.98,8.69
1985,12.90,8.66
1986,12.22,8.83
1987,13.41,8.99
1988,12.44,9.20
1989,13.35,8.92
1990,14.14,9.23
1991,13.32,9.18
1992,12.94,8.84
1993,12.49,8.87
1994,13.78,9.04
1995,12.98,9.35
1996,12.61,9.04
1997,13.43,9.20
1998,13.74,9.52
1999,13.78,9.29
2000,13.50,9.20
2001,13.13,9.41
2002,13.42,9.57
2003,12.89,9.53
2004,14.05,9.32
2005,12.99,9.70
2006,13.28,9.53
2007,13.68,9.73
2008,13.31,9.43
2009,13.55,9.51
2010,13.82,9.70
2011,13.32,9.52
2012,13.11,9.51
2013,13.91,9.61
